table_name,column_name,dtype,non_null,missing,missing_pct,unique,unique_pct,is_numeric,is_datetime_like,sample_values
Application_Cities,CityID,int64,37940,0,0.0,37940,1.0,True,False,"1, 3, 4"
Application_Cities,CityName,object,37940,0,0.0,23279,0.6135740643120717,False,False,"Aaronsburg, Abanda, Abbeville"
Application_Cities,StateProvinceID,int64,37940,0,0.0,53,0.00139694254085398,True,False,"39, 1, 42"
Application_Cities,Location,object,37940,0,0.0,37939,0.9999736425935688,False,False,"E6100000010C07E11B542C73444087C09140035D53C0, E6100000010C4033880FEC8C4040EFBF3A33E66155C0, E6100000010C79C83956CE164140CCAC4AC7419854C0"
Application_Cities,LatestRecordedPopulation,float64,26892,11048,0.2911966262519768,9324,0.3467202141900937,True,False,"613.0, 192.0, 5237.0"
Application_Cities,LastEditedBy,int64,37940,0,0.0,4,0.00010542962572482868,True,False,"1, 1, 1"
Application_Cities,ValidFrom,object,37940,0,0.0,4,0.00010542962572482868,False,True,"2013-01-01 00:00:00.0000000, 2013-01-01 00:00:00.0000000, 2013-01-01 00:00:00.0000000"
Application_Cities,ValidTo,object,37940,0,0.0,1,2.635740643120717e-05,False,False,"9999-12-31 23:59:59.9999999, 9999-12-31 23:59:59.9999999, 9999-12-31 23:59:59.9999999"
Application_Cities_Archive,CityID,int64,28,0,0.0,28,1.0,True,False,"33783, 13570, 6069"
Application_Cities_Archive,CityName,object,28,0,0.0,28,1.0,False,False,"Tennessee Colony, Grand Coteau, Charleston"
Application_Cities_Archive,StateProvinceID,int64,28,0,0.0,25,0.8928571428571429,True,False,"45, 19, 44"
Application_Cities_Archive,Location,object,28,0,0.0,28,1.0,False,False,"E6100000010CD51D30B4DFD53F40238F96B9AFF557C0, E6100000010C306D93E57F6B3E40B05EA0FFF90257C0, E6100000010CB2E5A617C6A441406DF9ED90873055C0"
Application_Cities_Archive,LatestRecordedPopulation,float64,17,11,0.39285714285714285,17,1.0,True,False,"947.0, 651.0, 688.0"
Application_Cities_Archive,LastEditedBy,int64,28,0,0.0,1,0.03571428571428571,True,False,"1, 1, 1"
Application_Cities_Archive,ValidFrom,object,28,0,0.0,1,0.03571428571428571,False,True,"2013-01-01 00:00:00.0000000, 2013-01-01 00:00:00.0000000, 2013-01-01 00:00:00.0000000"
Application_Cities_Archive,ValidTo,object,28,0,0.0,3,0.10714285714285714,False,True,"2013-07-01 16:00:00.0000000, 2013-07-01 16:00:00.0000000, 2013-07-01 16:00:00.0000000"
Application_Countries,CountryID,int64,190,0,0.0,190,1.0,True,False,"1, 3, 4"
Application_Countries,CountryName,object,190,0,0.0,190,1.0,False,False,"Afghanistan, Albania, Algeria"
Application_Countries,FormalName,object,190,0,0.0,190,1.0,False,False,"Islamic State of Afghanistan, Republic of Albania, People's Democratic Republic of Algeria"
Application_Countries,IsoAlpha3Code,object,190,0,0.0,190,1.0,False,False,"AFG, ALB, DZA"
Application_Countries,IsoNumericCode,int64,190,0,0.0,190,1.0,True,False,"4, 8, 12"
Application_Countries,CountryType,object,190,0,0.0,1,0.005263157894736842,False,False,"UN Member State, UN Member State, UN Member State"
Application_Countries,LatestRecordedPopulation,int64,190,0,0.0,190,1.0,True,False,"28400000, 3785031, 34178188"
Application_Countries,Continent,object,190,0,0.0,7,0.03684210526315789,False,False,"Asia, Europe, Africa"
Application_Countries,Region,object,190,0,0.0,5,0.02631578947368421,False,False,"Asia, Europe, Africa"
Application_Countries,Subregion,object,190,0,0.0,22,0.11578947368421053,False,False,"Southern Asia, Southern Europe, Northern Africa"
