1,AL,Alabama,230,Southeast,,4833722,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
4,AR,Arkansas,230,Southeast,,2959373,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
5,CA,California,230,Far West,,38332521,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
7,CT,Connecticut,230,New England,,3596080,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
10,FL,Florida,230,Southeast,,19552860,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
12,HI,Hawaii,230,Far West,,1404054,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
13,ID,Idaho,230,Rocky Mountain,,1612136,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
23,MI,Michigan,230,Great Lakes,,9895622,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
28,NE,Nebraska,230,Plains,,1868516,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
37,OK,Oklahoma,230,Southwest,,3850568,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
39,PA,Pennsylvania,230,Mideast,,12773801,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
50,WA,Washington,230,Far West,,6971406,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
52,WI,Wisconsin,230,Great Lakes,,5742713,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
53,WY,Wyoming,230,Rocky Mountain,,582658,1,2013-01-01 00:00:00.0000000,2013-01-01 00:01:00.0000000
11,GA,Georgia,230,Southeast,,9992167,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
15,IN,Indiana,230,Great Lakes,,6570902,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
20,ME,Maine,230,New England,,1328302,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
24,MN,Minnesota,230,Plains,,5420380,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
27,MT,Montana,230,Rocky Mountain,,1015165,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
31,NJ,New Jersey,230,Mideast,,8899339,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
33,NY,New York,230,Mideast,,19651127,1,2013-01-01 00:00:00.0000000,2013-01-01 00:02:00.0000000
